GEO2010,1970,1980,1990,2000,2010,seqC1,seqC2
06037900609,9,9,5,9,4,5,1
06037502802,3,3,3,3,1,2,5
06037460401,9,3,3,8,7,5,1
06037120107,7,7,10,10,1,3,7
06037120106,7,7,10,10,1,3,7
06037120104,1,1,10,10,1,3,7
06037120103,1,1,10,10,10,2,9
06037117408,1,10,10,10,3,3,9
06037117407,1,10,10,10,4,3,9
06037117201,9,9,3,1,1,3,1
06037117102,9,3,1,9,3,4,1
06037117101,9,3,1,9,10,4,1
06037405702,9,9,3,3,1,3,5
06037405701,9,9,3,3,3,2,5
06037405302,9,3,3,3,3,2,5
06037405301,9,3,3,3,4,3,5
06037576903,7,10,10,10,2,3,9
06037576302,10,10,10,10,8,2,9
06037576301,10,10,10,10,8,2,9
06037576001,7,7,5,5,8,3,6
06037408003,9,9,9,9,9,1,5
06037401304,9,9,9,9,4,2,5
06037400501,6,9,6,6,4,5,4
06037400403,9,9,9,9,4,2,5
06037302506,1,1,1,1,9,2,7
06037404504,4,4,4,4,3,2,10
06037404202,1,1,1,4,1,3,7
06037404201,1,1,1,4,1,3,7
06037650901,3,1,1,1,7,3,7
06037650401,3,3,3,3,6,2,5
06037650004,1,1,1,1,6,2,7
06037650003,1,1,1,1,6,2,7
06037621326,7,7,7,7,6,2,6
06037302505,1,1,1,1,3,2,7
06037433503,4,4,4,4,1,2,10
06037406702,9,9,3,3,4,3,5
06037900608,9,9,5,9,10,5,1
06037621204,1,1,7,7,6,3,7
06037621104,1,1,7,7,6,3,7
06037621004,1,1,6,6,1,3,3
06037620904,6,7,6,6,3,5,4
06037620305,7,7,6,6,3,3,3
06037543306,9,9,9,3,4,3,5
06037542106,4,2,2,2,3,3,8
06037542105,4,2,2,2,4,3,8
06037800506,6,5,6,6,2,5,4
06037800504,6,5,5,5,9,3,4
06037800410,5,5,5,5,9,2,4
06037800332,9,9,9,9,5,2,5
06037573601,3,3,3,3,10,2,5
06037571504,3,3,3,1,3,3,5
06037571503,3,3,3,1,3,3,5
06037570404,3,2,4,4,4,3,9
06037267404,7,7,7,7,7,1,6
06037113237,9,5,9,9,4,5,1
06037102107,3,3,3,3,9,2,5
06037102104,9,9,3,3,3,2,5
06037111205,9,9,6,6,10,3,3
06037106649,9,9,4,4,1,3,7
06037106646,9,9,3,3,6,3,5
06037106406,3,3,9,9,6,3,1
06037104203,8,8,4,4,3,3,9
06037265602,7,7,5,7,6,5,6
06037293306,9,9,1,1,3,3,7
06037276604,1,5,5,7,10,5,4
06037276603,1,5,5,7,10,5,4
06037269907,7,7,7,1,7,3,6
06037269906,7,7,7,1,1,2,6
06037267901,7,7,7,7,5,2,6
06037434004,4,4,4,4,6,2,10
06037434003,4,4,4,4,3,2,10
06037433504,4,4,4,4,7,2,10
06037402904,4,4,4,4,4,1,10
06037402903,4,4,4,4,4,1,10
06037402804,10,4,4,4,3,3,10
06037402803,10,4,4,4,3,3,10
06037402706,9,9,3,3,1,3,5
06037402705,9,9,3,3,10,3,5
06037402405,4,4,4,4,9,2,10
06037604002,4,4,1,1,3,3,7
06037604001,4,4,1,1,3,3,7
06037603802,4,4,1,10,1,5,2
06037431502,3,6,3,3,3,3,5
06037431501,3,6,3,3,3,3,5
06037430301,3,3,6,6,3,3,3
06037430003,9,9,9,3,4,3,5
06037603801,4,4,1,10,3,5,2
06037603006,1,1,1,10,7,3,7
06037603005,1,1,1,10,6,3,7
06037602802,8,8,8,8,6,2,8
06037602801,8,8,8,8,6,2,8
06037602509,4,1,10,10,9,5,2
06037602508,4,1,10,10,9,5,2
06037602302,9,6,3,3,6,5,1
06037600304,2,2,2,2,1,2,8
06037702102,1,7,7,7,9,3,2
06037702002,7,7,7,7,4,2,6
